IMPLODED,FROMFAIRESTCREATURES,NDDXT DMUME INFHE WCDTD 
SPANGLED,WHENFORTYWINTERSSHAL,OWEAL ZVWQL IAZPV VKWAY 
MENTIONS,LOOKINTHYGLASSANDTEL,XSBDQ BGZKK YTAGN FPXRE 
CANISTER,UNTHRIFTYLOVELINESSW,WNGPJ BJKAL BDWEM EGSFE 
SUNBURNT,THOSEHOURSTHATWITHGE,LBBTY YBNJM GIUKJ BLBTF 
SHETLAND,THENLETNOTWINTERSRAG,LOIGW EGQGA ABYTR UKYEZ 
GROUPING,LOINTHEORIENTWHENTHE,RFWHI PRUXZ SHIEU KTKVY 
TOUGHIES,MUSICTOHEARWHYHEARST,FIMOJ BSZXO LCOGL WTFMZ 
CHEEKIER,ISITFORFEARTOWETAWID,KZMXP WVWGH VXYEI KCDMH 
DAFFODIL,FORSHAMEDENYTHATTHOU,IOWXV DUPGE SDHKI EWHTZ 
SLICINGS,ASFASTASTHOUSHALTWAN,SDNCA GGKLS WWAUG DLHIP 
CONVENED,WHENIDOCOUNTTHECLOCK,YVRIM QSFQI AOXUI FNCPF 
ARMOURED,OTHATYOUWEREYOURSELF,OKTON PSXWV DSSFY USVXT 
NOTABLES,NOTFROMTHESTARSDOIMY,ACMFS ZQLUS LTBCW VBWFY 
BUSHFIRE,WHENICONSIDEREVERYTH,XBWUN KFRTC VLWMM ISSLO 
OUTRAGED,BUTWHEREFOREDONOTYOU,POMNH KVHTI KVDUR RHSHL 
EMBOLDEN,WHOWILLBELIEVEMYVERS,ATPKT OPOIX JSGHQ LZQSG 
JAPONICA,SHALLICOMPARETHEETOA,BHPZY QEOVP PFRBJ ENTDO 
ONTOGENY,DEVOURINGTIMEBLUNTTH,RROCA VVLUG BAKFY SBGMV 
NEGLIGEE,AWOMANSFACEWITHNATUR,NAUXI TWJNG KHQZL RNXAC 
SELECTOR,SOISITNOTWITHMEASWIT,KSTWK MBFLA TXJFS RKATX 
DIVORCED,MYGLASSSHALLNOTPERSU,PGBZR UWVKI GZEQX SHZNI 
ROUTINES,ASANUNPERFECTACTORON,RGUGC ATWIT YVBNG LFFIG 
REGALING,MINEEYEHATHPLAYDTHEP,DMTEP GRNRX NPWIL JKLKP 
SYNAPSES,LETTHOSEWHOAREINFAVO,DCGTW GWWOF BAGWM FXYIO 
FINISHED,LORDOFMYLOVETOWHOMIN,QWELG MQBQW IMLVA KTUVV 
TRIMODAL,WEARYWITHTOILIHASTEM,PVIDM ZIEAK WUZLH LLKMY 
PANTHEON,HOWCANITHENRETURNINH,WOJVH RWGWE AKLXI ECIAA 
BASEMENT,WHENINDISGRACEWITHFO,XHWRU RQBTG JEOIJ BUHXS 
KILOBYTE,WHENTOTHESESSIONSOFS,GPPBU MMLOA PGTGH RCWQG 
GLAZIERS,THYBOSOMISENDEAREDWI,ZSYAW WFEOD EMLIR JKOWH 
INHABITS,IFTHOUSURVIVEMYWELLC,QSAHP CLMZI PVFUR OMYSC 
TUTELARY,FULLMANYAGLORIOUSMOR,YOEPX AEWTA ESCIF SLGHV 
POLITEST,WHYDIDSTTHOUPROMISES,LVJLB HKMIV ZCIVG FXGPA 
DEGRADES,NOMOREBEGRIEVEDATTHA,QSSFR HFWJV OVVHH SWXNR 
GROUTING,LETMECONFESSTHATWETW,RVHGX KBTLV GMMPN ZCVHQ 
MANACLED,ASADECREPITFATHERTAK,MSNDG NVHBI GFCEL HDTNK 
STRIPING,HOWCANMYMUSEWANTSUBJ,ZHNKP VZEEN JMLIA ZKNSR 
SELLABLE,OHOWTHYWORTHWITHMANN,GLZHT IJAGV ESWJE LEEYY 
RETAINER,TAKEALLMYLOVESMYLOVE,KEDEI YPDPP HVMFQ PCSOE 
SWALLOWS,THOSEPETTYWRONGSTHAT,LDODP DALLU WCZBC KLDAE 
PLOPPING,THATTHOUHASTHERITISN,ISOII PBAWL GIWME OITGC 
RESULTED,WHENMOSTIWINKTHENDOM,NLWHX HWWZA AHVML HEHGG 
DRENCHED,IFTHEDULLSUBSTANCEOF,LWXUG KYOOJ YOUAE QFVSS 
DELIVERY,THEOTHERTWOSLIGHTAIR,WLPWO LVPWA ZAGMX FWETZ 
FORFEITS,MINEEYEANDHEARTAREAT,RWEJI GXSSR YJEZM SWSRY 
PASSWORD,BETWIXTMINEEYEANDHEA,QELOE LKPXN WWUSR QSHWS 
HILLOCKS,HOWCAREFULWASIWHENIT,OWHNO TOXBT HLGKG ZLVTE 
HARASSED,AGAINSTTHATTIMEIFEVE,HGRIF KXWOA KTAEI LMEME 
INSULTED,HOWHEAVYDOIJOURNEYON,PBOBP TZBLB ADZNV QMLGH 
SAMIZDAT,THUSCANMYLOVEEXCUSET,LHGAB DNFQL ADDHX VMSQB 
AQUIFERS,SOAMIASTHERICHWHOSEB,SEUUN EJLHU LQHLN ZOIYJ 
EARPLUGS,WHATISYOURSUBSTANCEW,AHRIT MEGYR JJMMZ SRCVL 
PUNISHED,OHOWMUCHMOREDOTHBEAU,DBBEE BGKBI EMVVX KQYNC 
REACTION,NOTMARBLENORTHEGILDE,ESTOT ZPYVR OTMPS TZPDG 
PSALMODY,SWEETLOVERENEWTHYFOR,HOEPF ZRTTJ EYQKW FNXOC 
CLEVERLY,BEINGYOURSLAVEWHATSH,DPMIK PZSTD PVZVH FCEWC 
ARTISTRY,THATGODFORBIDTHATMAD,TYTBY HUDOI UQVMY YTDTL 
MISCARRY,IFTHEREBENOTHINGNEWB,UNLJE IVZQV GVHZE EZMOD 
ROMANCER,LIKEASTHEWAVESMAKETO,CWWEN UXYVK MVRUQ RBSFO 
SENSIBLE,ISITTHYWILLTHYIMAGES,AWVLB IJAAP YLPZT QSKRK 
PLAITING,SINOFSELFLOVEPOSSESS,HTNWY ARRUW ODXXB YHPSA 
REWIRING,AGAINSTMYLOVESHALLBE,RKWQE AGSPP KDVAU GCPXM 
SLEEPING,WHENIHAVESEENBYTIMES,OSIRX PNBWD IICJL ZAXIW 
FRIGATES,SINCEBRASSNORSTONENO,XZVIE UVSXJ VURLX GSVVU 
FLURRIES,TIREDWITHALLTHESEFOR,YTLVU EMLML FCKPI KJQII 
THROBBED,AHWHEREFOREWITHINFEC,TONVF SIIHY VKJUL LGMVQ 
REFORMAT,THUSISHISCHEEKTHEMAP,KLZGZ EHBJG MSVWT AVQFD 
SPITEFUL,THOSEPARTSOFTHEETHAT,LWWLI UUCLH WYXMY PLWIM 
ACQUIRES,THATTHOUARTBLAMEDSHA,TJQNB YSMAT JVTRQ WDUXU 
BELGRADE,NOLONGERMOURNFORMEWH,OSWUE GHVNS FXEFR VNIHN 
FLORISTS,OLESTTHEWORLDSHOULDT,TWSJB LAWBZ FCLKA GZWRK 
ENCOMIUM,THATTIMEOFYEARTHOUMA,XUCHF QGQSS ASMZN TSHOO 
LANCELOT,BUTBECONTENTEDWHENTH,MUGDI NCGEE AVIOK APNGJ 
DELIVERS,SOAREYOUTOMYTHOUGHTS,VSLZZ CFMWS XGOLF MJLEA 
PUMPKINS,WHYISMYVERSESOBARREN,LBKXC ULNTL ETCWO SGLQC 
STARKEST,THYGLASSWILLSHOWTHEE,LAYXV EKLOB LCCLG PLAEV 
BEGINNER,SOOFTHAVEIINVOKEDTHE,TSUNG UEMFM OVIBO VEXNM 
ROUNDISH,WHILSTIALONEDIDCALLU,NVCYV BAHCC HRGQV JRZFH 
PANGOLIN,OHOWIFAINTWHENIOFYOU,DHBCW QIVCT JNSYQ BUYBA 
VENALITY,ORISHALLLIVEYOUREPIT,JVVSS IEJGM IEJWN PZTVT 
STRONGLY,IGRANTTHOUWERTNOTMAR,AZIOA ZEFGN NSEZY MLFRF 
ALVEOLAR,INEVERSAWTHATYOUDIDP,IYZZS CSRWE CEHJO LDTYT 
UNVALUED,WHOISITTHATSAYSMOSTW,QUJID CXWBN OSLSW PIFOW 
REVENGED,MYTONGUETIEDMUSEINMA,DCOSA MYHKM ZHZAW HZRHE 
NEIGHING,WASITTHEPROUDFULLSAI,JEAOA BUKCV WAKNH RYWIO 
FULLNESS,FAREWELLTHOUARTTOODE,KUCPJ IDDYB ZFNVL LTIOP 
WINDPIPE,WHENTHOUSHALTBEDISPO,SPRQI PDYOP NOIJT HEACR 
WITHHELD,SAYTHATTHOUDIDSTFORS,OIRAO EEWDW NKPHD WBWKZ 
CRIBBAGE,THENHATEMEWHENTHOUWI,VYMOI AZIOV EIFNZ LQLEJ 
RESTROOM,SOMEGLORYINTHEIRBIRT,JSEXX ZCDPM FMYSW DSMJM 
PARTAKES,BUTDOTHYWORSTTOSTEAL,QUKWO DLQLO ILTDS KIERE 
VISITANT,SOSHALLILIVESUPPOSIN,NWKPT LYBGQ NMLUC IJAAV 
PENGUINS,THEYTHATHAVEPOWERTOH,ILREN PNLWE IKJWJ WGXBN 
MOCCASIN,HOWSWEETANDLOVELYDOS,TCYUW WMGMB FNONM YKRQU 
TENSIONS,SOMESAYTHYFAULTISYOU,LSZWA OLLAC SSCZG ALCBM 
CONTENTS,HOWLIKEAWINTERHATHMY,JCJEM XXSYW AMIEA SVVZR 
OVERHEAR,FROMYOUHAVEIBEENABSE,TMSDF SUYOQ IZIIE EOWWV 
CELERIAC,THEFORWARDVIOLETTHUS,VLPJF ZWCTH GMFTE VVLFW 
TREATIES,WHEREARTTHOUMUSETHAT,PYIRX IVLMY SUFCW WMYET 
WAXPAPER,OTRUANTMUSEWHATSHALL,KTOJA CXDQS BLHPX JDAIA 
RAPIDITY,MYLOVEISSTRENGTHENDT,DYAWY MBQJT GMQOM FVNSB 
LOWLANDS,ALACKWHATPOVERTYMYMU,LZWNK JKSED KGEEW QXMIF 
RARITIES,TOMEFAIRFRIENDYOUNEV,KODMY IMJWR ZMGLC GLNVD 
PERJURED,LETNOTMYLOVEBECALLDI,AIKWI KQBAS MNVVG DAPUR 
PRECEDED,WHENINTHECHRONICLEOF,LYIPM QXKTT LTSQM FAVSH 
VERTICAL,WHENINTHECHRONICLEOF,RLVGQ PTSZG YKWPI NGIFY 
VENTURER,NOTMINEOWNFEARSNORTH,ISGFC EIFRR SXUIW EJVGA 
SCHOLARS,WHATSINTHEBRAINTHATI,OJHHD IELZG IFLIE LZCAW 
STRAWMAN,ONEVERSAYTHATIWASFAL,GGVVA DSNQM YAPUW NKYRL 
FRACTALS,ALASTISTRUEIHAVEGONE,FCAUM IDLWL EKAAG WLFNG 
QUIXOTIC,OFORMYSAKEDOYOUWITHF,EZWOA RACAY LLMHC YYNPC 
RIGIDIFY,YOURLOVEANDPITYDOTHT,PWAZO WACRV JXLBD BFBNB 
MISTIEST,SINCEILEFTYOUMINEEYE,EQFVM MDXRB QHCQA GQMQX 
TREKKERS,ORWHETHERDOTHMYMINDB,HIARO XYWKU SDRQP EBEHL 
DRAINAGE,THOSELINESTHATIBEFOR,WYOAR LORHJ TPNTO FHWOZ 
BLACKLEG,LETMENOTTOTHEMARRIAG,MPTOO YSZUZ TJOXE XSTAI 
CHAIRING,ACCUSEMETHUSTHATIHAV,CJCCJ MZKVO UAKPN ZKOAD 
MOLASSES,LIKEASTOMAKEOURAPPET,XWVES KXGYO VEGMV SBDPT 
